"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"1507";"GM1680";"2020JJ00";"   25453"
"1533";"GM0738";"2020JJ00";""
"1559";"GM0358";"2020JJ00";"   31857"
"1585";"GM0197";"2020JJ00";"   27117"
"1611";"GM0480";"2020JJ00";""
"1637";"GM0739";"2020JJ00";""
"1663";"GM0305";"2020JJ00";""
"1689";"GM0059";"2020JJ00";"   27836"
"1715";"GM0360";"2020JJ00";""
"1741";"GM0482";"2020JJ00";"   20165"
"1767";"GM0613";"2020JJ00";"   25589"
"1793";"GM0483";"2020JJ00";""
"1819";"GM0361";"2020JJ00";"  109444"
"1845";"GM0141";"2020JJ00";"   73080"
"1871";"GM0034";"2020JJ00";"  211840"
"1897";"GM0484";"2020JJ00";"  111889"
"1923";"GM0741";"2020JJ00";""
"1949";"GM1723";"2020JJ00";"   10213"
"1975";"GM1959";"2020JJ00";"   55980"
"2001";"GM0142";"2020JJ00";""
"2027";"GM1679";"2020JJ00";""
"2053";"GM0060";"2020JJ00";"    3718"
"2079";"GM0306";"2020JJ00";""
"2105";"GM0307";"2020JJ00";"  157279"
"2131";"GM0198";"2020JJ00";""
"2157";"GM0362";"2020JJ00";"   91691"
"2183";"GM0363";"2020JJ00";"  872779"
"2209";"GM0364";"2020JJ00";""
"2235";"GM0199";"2020JJ00";""
"2261";"GM0105";"2020JJ00";""
"2287";"GM0366";"2020JJ00";""
"2313";"GM0200";"2020JJ00";"  163829"
"2339";"GM0003";"2020JJ00";"   11644"
"2365";"GM0885";"2020JJ00";""
"2391";"GM0649";"2020JJ00";""
"2417";"GM0202";"2020JJ00";"  161368"
"2443";"GM0106";"2020JJ00";"   68606"
"2469";"GM0743";"2020JJ00";"   16734"
"2495";"GM0143";"2020JJ00";""
"2521";"GM0650";"2020JJ00";""
"2547";"GM0744";"2020JJ00";"    6860"
"2573";"GM0308";"2020JJ00";"   24873"
"2599";"GM0745";"2020JJ00";""
"2625";"GM0489";"2020JJ00";"   48713"
"2651";"GM0203";"2020JJ00";"   59077"
"2677";"GM0144";"2020JJ00";""
"2703";"GM0005";"2020JJ00";""
"2729";"GM0888";"2020JJ00";"   15868"
"2755";"GM0746";"2020JJ00";""
"2781";"GM1954";"2020JJ00";"   35976"
"2807";"GM0370";"2020JJ00";"   10025"
"2833";"GM0889";"2020JJ00";"   13483"
"2859";"GM0107";"2020JJ00";""
"2885";"GM0890";"2020JJ00";""
"2911";"GM0007";"2020JJ00";""
"2937";"GM0206";"2020JJ00";""
"2963";"GM0372";"2020JJ00";""
"2989";"GM1945";"2020JJ00";"   34990"
"3015";"GM0491";"2020JJ00";""
"3041";"GM1724";"2020JJ00";"   18638"
"3067";"GM0893";"2020JJ00";"   13085"
"3093";"GM0373";"2020JJ00";"   29844"
"3119";"GM0748";"2020JJ00";"   67489"
"3145";"GM0749";"2020JJ00";""
"3171";"GM0207";"2020JJ00";""
"3197";"GM0492";"2020JJ00";""
"3223";"GM0493";"2020JJ00";""
"3249";"GM0751";"2020JJ00";""
"3275";"GM1859";"2020JJ00";"   43748"
"3301";"GM0752";"2020JJ00";""
"3327";"GM1721";"2020JJ00";"   31247"
"3353";"GM0568";"2020JJ00";""
"3379";"GM0753";"2020JJ00";"   29985"
"3405";"GM0209";"2020JJ00";"   25891"
"3431";"GM0375";"2020JJ00";"   41613"
"3457";"GM0063";"2020JJ00";""
"3483";"GM0310";"2020JJ00";"   43124"
"3509";"GM0585";"2020JJ00";""
"3535";"GM1728";"2020JJ00";"   20395"
"3561";"GM0754";"2020JJ00";""
"3587";"GM0376";"2020JJ00";"   11536"
"3613";"GM0495";"2020JJ00";""
"3639";"GM0377";"2020JJ00";"   23570"
"3665";"GM0055";"2020JJ00";""
"3691";"GM0497";"2020JJ00";""
